Activity,Per,Name of Resource Used,Carbon Footprint of Resource per Unit
shower - short,activity,solar powered  water heater,1.2e-05
shower - long (> 3 min),activity,solar powered  water heater,1.7e-05
bath,activity,solar powered  water heater,8.8e-05
wash-up,activity,solar powered  water heater,4e-06
use of dishwasher,activity,solar powered  water heater,2.5e-05
use of clothes washer,activity,solar powered  water heater,3.3e-05
shower - short,activity,gas water heater,0.000102
shower - long (> 3 min),activity,gas water heater,0.000149
bath,activity,gas water heater,0.000254
wash-up,activity,gas water heater,4.2e-05
use of dishwasher,activity,gas water heater,0.000165
use of clothes washer,activity,gas water heater,0.000199
shower - short,activity,electric water heater - peak hours,0.000232
shower - long (> 3 min),activity,electric water heater - peak hours,0.000354
bath,activity,electric water heater - peak hours,0.000412
wash-up,activity,electric water heater - peak hours,6.7e-05
use of dishwasher,activity,electric water heater - peak hours,0.000398
use of clothes washer,activity,electric water heater - peak hours,0.000433
shower - short,activity,electric water heater - off peak hours,0.000199
shower - long (> 3 min),activity,electric water heater - off peak hours,0.000312
bath,activity,electric water heater - off peak hours,0.000368
wash-up,activity,electric water heater - off peak hours,5.5e-05
use of dishwasher,activity,electric water heater - off peak hours,0.000311
use of clothes washer,activity,electric water heater - off peak hours,0.000382
car trips- self only,mile  ,gas,0.000551
car trips - driver and self,mile  ,gas,0.000554
car trips - 2+ people with multiple end points,mile  ,gas,0.000354
trips using public ground transportation,mile  ,gas,0.000276
Household heating => 70F,hour ,natural gas,0.000436
Household heating < 70F,hour ,natural gas,0.000872
Use of heat pump,hour ,natural gas,0.001074
Use of air conditioner ,hour ,natural gas,0.000598
use of clothes washer,activity,natural gas,0.000154
use of clothes dryer ,activity,natural gas,0.000187
use of cooking range,activity,natural gas,0.000201
use of  oven,activity,natural gas,0.000255
air travel - large plane,100 miles,Jet Fuel,0.0179
air travel - small  plane (<50 seats) ,100 miles,Jet Fuel,0.0408
bags of garbage disposed,per bag,waste management,0.0419
bags of recycling deposited (negative CF),per bag,waste management,-0.0419
bags of compost deposited (negative CF),per bag,waste management,-0.0419
hazardous or electric items disposed,per item,waste management,0.0211
large items disposed,per item,waste management,0.0211
car trips- self only,mile  ,hybrid,0.000332
car trips - driver and self,mile  ,hybrid,0.000337
car trips - 2+ people with multiple end points,mile  ,hybrid,0.000123
Household heating => 70F,hour ,electric - peak hours,0.00065
Household heating < 70F,hour ,electric - peak hours,0.000923
Use of heat pump,hour ,electric - peak hours,0.001229
Use of air conditioner ,hour ,electric - peak hours,0.00798
use of dishwasher,activity,electric - peak hours,8.4e-05
use of clothes washer,activity,electric - peak hours,0.000102
use of clothes dryer ,activity,electric - peak hours,0.000132
use of cooking range,activity,electric - peak hours,0.000142
use of  oven,activity,electric - peak hours,0.000162
use of self-clean feature of electric oven,activity,electric - peak hours,0.000199
Small kitchen applicance in the home,activity,electric - peak hours,5.4e-05
TV/computer use,hour ,electric - peak hours,2e-06
car trips- self only,mile  ,electric - peak hours,0.000192
car trips - driver and self,mile  ,electric - peak hours,0.000199
car trips - 2+ people with multiple end points,mile  ,electric - peak hours,3.2e-05
Household heating => 70F,hour ,electric - off peak hours,0.000542
Household heating < 70F,hour ,electric - off peak hours,0.000901
Use of heat pump,hour ,electric - off peak hours,0.001188
Use of air conditioner ,hour ,electric - off peak hours,0.000721
use of dishwasher,activity,electric - off peak hours,7.8e-05
use of clothes washer,activity,electric - off peak hours,9.3e-05
use of clothes dryer ,activity,electric - off peak hours,0.000122
use of cooking range,activity,electric - off peak hours,0.000135
use of  oven,activity,electric - off peak hours,0.00015
use of self-clean feature of electric oven,activity,electric - off peak hours,0.000178
Small kitchen applicance in the home,activity,electric - off peak hours,4.1e-05
TV/computer use,hour ,electric - off peak hours,2e-06
car trips- self only,mile  ,electric - off peak hours,0.000233
car trips - driver and self,mile  ,electric - off peak hours,0.000245
car trips - 2+ people with multiple end points,mile  ,electric - off peak hours,5.5e-05
